Timestamp.2014,2014,Timestamp.2013,2013,Timestamp.2012,2012,Timestamp.2011,2011
13-05-2014,NA,13-05-2013,0,13-05-2012,NA,13-05-2011,2
14-05-2014,-2,14-05-2013,-2,14-05-2012,1,14-05-2011,NA
15-05-2014,4,15-05-2013,0,15-05-2012,14,15-05-2011,NA
16-05-2014,2,16-05-2013,0,16-05-2012,8,16-05-2011,8
17-05-2014,NA,17-05-2013,1,17-05-2012,5,17-05-2011,NA
18-05-2014,NA,18-05-2013,NA,18-05-2012,6,18-05-2011,1
19-05-2014,-2,19-05-2013,NA,19-05-2012,NA,19-05-2011,3
20-05-2014,-1,20-05-2013,0,20-05-2012,NA,20-05-2011,4
21-05-2014,-2,21-05-2013,-1,21-05-2012,5,21-05-2011,NA
22-05-2014,-2,22-05-2013,2,22-05-2012,-11,22-05-2011,NA
23-05-2014,-2,23-05-2013,3,23-05-2012,4,23-05-2011,10
24-05-2014,NA,24-05-2013,NA,24-05-2012,8,24-05-2011,4
25-05-2014,NA,25-05-2013,NA,25-05-2012,-2,25-05-2011,7
26-05-2014,-3,26-05-2013,NA,26-05-2012,NA,26-05-2011,-2
27-05-2014,-2,27-05-2013,5,27-05-2012,NA,27-05-2011,10
28-05-2014,-5,28-05-2013,14,28-05-2012,5,28-05-2011,NA
29-05-2014,-3,29-05-2013,2,29-05-2012,-1,29-05-2011,NA
30-05-2014,-4,30-05-2013,2,30-05-2012,-3,30-05-2011,7
31-05-2014,NA,31-05-2013,2,31-05-2012,0,31-05-2011,12
01-06-2014,NA,01-06-2013,NA,01-06-2012,-3,01-06-2011,7
02-06-2014,-7,02-06-2013,NA,02-06-2012,NA,02-06-2011,2
03-06-2014,-8,03-06-2013,-1,03-06-2012,NA,03-06-2011,1
04-06-2014,-5,04-06-2013,0,04-06-2012,-4,04-06-2011,NA
05-06-2014,-8,05-06-2013,0,05-06-2012,-11,05-06-2011,NA
06-06-2014,-7,06-06-2013,3,06-06-2012,2,06-06-2011,5
07-06-2014,NA,07-06-2013,-4,07-06-2012,11,07-06-2011,3
08-06-2014,NA,08-06-2013,NA,08-06-2012,1,08-06-2011,4
09-06-2014,-6,09-06-2013,NA,09-06-2012,NA,09-06-2011,2
10-06-2014,-8,10-06-2013,-1,10-06-2012,NA,10-06-2011,-10
11-06-2014,-6,11-06-2013,1,11-06-2012,-1,11-06-2011,NA
12-06-2014,-4,12-06-2013,-1,12-06-2012,0,12-06-2011,NA
13-06-2014,-3,13-06-2013,2,13-06-2012,-6,13-06-2011,-2
14-06-2014,NA,14-06-2013,-1,14-06-2012,-11,14-06-2011,-3
15-06-2014,NA,15-06-2013,NA,15-06-2012,-5,15-06-2011,-3
16-06-2014,-6,16-06-2013,NA,16-06-2012,NA,16-06-2011,-2
17-06-2014,-5,17-06-2013,0,17-06-2012,NA,17-06-2011,-3
18-06-2014,-4,18-06-2013,2,18-06-2012,4,18-06-2011,NA
19-06-2014,-1,19-06-2013,1,19-06-2012,5,19-06-2011,NA
20-06-2014,0,20-06-2013,-2,20-06-2012,-11,20-06-2011,0
21-06-2014,NA,21-06-2013,2,21-06-2012,2,21-06-2011,7
22-06-2014,NA,22-06-2013,NA,22-06-2012,-6,22-06-2011,-6
23-06-2014,-4,23-06-2013,NA,23-06-2012,NA,23-06-2011,-6
24-06-2014,-3,24-06-2013,-2,24-06-2012,NA,24-06-2011,-11
25-06-2014,-5,25-06-2013,-2,25-06-2012,-4,25-06-2011,NA
26-06-2014,-3,26-06-2013,-3,26-06-2012,-8,26-06-2011,NA
27-06-2014,-5,27-06-2013,0,27-06-2012,-3,27-06-2011,-2
28-06-2014,NA,28-06-2013,4,28-06-2012,-4,28-06-2011,4
29-06-2014,NA,29-06-2013,NA,29-06-2012,-4,29-06-2011,0
30-06-2014,-4,30-06-2013,NA,30-06-2012,NA,30-06-2011,-6
01-07-2014,4,01-07-2013,3,01-07-2012,NA,01-07-2011,0
02-07-2014,-2,02-07-2013,4,02-07-2012,-2,02-07-2011,NA
03-07-2014,-2,03-07-2013,8,03-07-2012,0,03-07-2011,NA
04-07-2014,-3,04-07-2013,1,04-07-2012,-5,04-07-2011,3
05-07-2014,NA,05-07-2013,1,05-07-2012,-6,05-07-2011,-1
06-07-2014,NA,06-07-2013,NA,06-07-2012,3,06-07-2011,3
07-07-2014,-6,07-07-2013,NA,07-07-2012,NA,07-07-2011,0
08-07-2014,-1,08-07-2013,4,08-07-2012,NA,08-07-2011,-2
09-07-2014,0,09-07-2013,9,09-07-2012,0,09-07-2011,NA
10-07-2014,4,10-07-2013,2,10-07-2012,0,10-07-2011,NA
11-07-2014,1,11-07-2013,2,11-07-2012,-8,11-07-2011,-3
12-07-2014,NA,12-07-2013,3,12-07-2012,-6,12-07-2011,-2
13-07-2014,NA,13-07-2013,NA,13-07-2012,1,13-07-2011,1
14-07-2014,-2,14-07-2013,NA,14-07-2012,NA,14-07-2011,3
15-07-2014,NA,15-07-2013,-1,15-07-2012,NA,15-07-2011,6
16-07-2014,-1,16-07-2013,5,16-07-2012,-4,16-07-2011,NA
17-07-2014,0,17-07-2013,12,17-07-2012,-6,17-07-2011,NA
18-07-2014,0,18-07-2013,7,18-07-2012,-3,18-07-2011,3
19-07-2014,NA,19-07-2013,7,19-07-2012,-9,19-07-2011,-1
20-07-2014,NA,20-07-2013,NA,20-07-2012,-8,20-07-2011,1
21-07-2014,1,21-07-2013,NA,21-07-2012,NA,21-07-2011,1
22-07-2014,2,22-07-2013,7,22-07-2012,NA,22-07-2011,0
23-07-2014,-2,23-07-2013,13,23-07-2012,-13,23-07-2011,NA
24-07-2014,1,24-07-2013,11,24-07-2012,-9,24-07-2011,NA
25-07-2014,-1,25-07-2013,6,25-07-2012,-9,25-07-2011,3
26-07-2014,NA,26-07-2013,4,26-07-2012,-8,26-07-2011,0
27-07-2014,NA,27-07-2013,NA,27-07-2012,-8,27-07-2011,-3
28-07-2014,NA,28-07-2013,NA,28-07-2012,NA,28-07-2011,-1
29-07-2014,NA,29-07-2013,7,29-07-2012,NA,29-07-2011,3
30-07-2014,0,30-07-2013,6,30-07-2012,-8,30-07-2011,NA
